table_schema,table_name,column_name,data_type,row_count,null_count,null_rate,profile_tier,profile_mode,exact_distinct_count,approx_distinct_count,distinct_count_for_catalog,distinct_is_exact,distinct_rate,min_value,max_value,profile_seconds,profile_sql
main,socioeconomico,NU_ANO,SMALLINT,72395,0,0.0,small,exact,13,,13,True,0.00018,2008,2021,0.003,"SELECT COUNT(*) FILTER (WHERE ""NU_ANO"" IS NULL) AS null_count, COUNT(DISTINCT ""NU_ANO"") AS distinct_count, MIN(""NU_ANO"") AS min_value, MAX(""NU_ANO"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,QT_POPULACAO,BIGINT,72395,0,0.0,small,exact,35070,,35070,True,0.484426,771,12396372,0.005,"SELECT COUNT(*) FILTER (WHERE ""QT_POPULACAO"" IS NULL) AS null_count, COUNT(DISTINCT ""QT_POPULACAO"") AS distinct_count, MIN(""QT_POPULACAO"") AS min_value, MAX(""QT_POPULACAO"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,VL_PIB_PERCAPITA,DOUBLE,72395,6,8.3e-05,small,exact,66659,,66659,True,0.920768,-19046.0,828980747.0,0.006,"SELECT COUNT(*) FILTER (WHERE ""VL_PIB_PERCAPITA"" IS NULL) AS null_count, COUNT(DISTINCT ""VL_PIB_PERCAPITA"") AS distinct_count, MIN(""VL_PIB_PERCAPITA"") AS min_value, MAX(""VL_PIB_PERCAPITA"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,QT_OBITOS_INFANTIS,INTEGER,72395,0,0.0,small,exact,336,,336,True,0.004641,0,2109,0.002,"SELECT COUNT(*) FILTER (WHERE ""QT_OBITOS_INFANTIS"" IS NULL) AS null_count, COUNT(DISTINCT ""QT_OBITOS_INFANTIS"") AS distinct_count, MIN(""QT_OBITOS_INFANTIS"") AS min_value, MAX(""QT_OBITOS_INFANTIS"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,QT_NASCIDOS_VIVOS,INTEGER,72395,0,0.0,small,exact,4128,,4128,True,0.057021,0,176487,0.002,"SELECT COUNT(*) FILTER (WHERE ""QT_NASCIDOS_VIVOS"" IS NULL) AS null_count, COUNT(DISTINCT ""QT_NASCIDOS_VIVOS"") AS distinct_count, MIN(""QT_NASCIDOS_VIVOS"") AS min_value, MAX(""QT_NASCIDOS_VIVOS"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,VL_MORT_INFANTIL,DOUBLE,72395,6,8.3e-05,small,exact,3260,,3260,True,0.045031,0.0,285.71,0.004,"SELECT COUNT(*) FILTER (WHERE ""VL_MORT_INFANTIL"" IS NULL) AS null_count, COUNT(DISTINCT ""VL_MORT_INFANTIL"") AS distinct_count, MIN(""VL_MORT_INFANTIL"") AS min_value, MAX(""VL_MORT_INFANTIL"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,QT_LEITOS_SUS,INTEGER,72395,26535,0.366531,small,exact,1172,,1172,True,0.016189,0,16099,0.003,"SELECT COUNT(*) FILTER (WHERE ""QT_LEITOS_SUS"" IS NULL) AS null_count, COUNT(DISTINCT ""QT_LEITOS_SUS"") AS distinct_count, MIN(""QT_LEITOS_SUS"") AS min_value, MAX(""QT_LEITOS_SUS"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,VL_LEITOS_SUS_1000,DOUBLE,72395,26535,0.366531,small,exact,21652,,21652,True,0.299081,0.0,25.6731,0.004,"SELECT COUNT(*) FILTER (WHERE ""VL_LEITOS_SUS_1000"" IS NULL) AS null_count, COUNT(DISTINCT ""VL_LEITOS_SUS_1000"") AS distinct_count, MIN(""VL_LEITOS_SUS_1000"") AS min_value, MAX(""VL_LEITOS_SUS_1000"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,QT_MEDICOS,INTEGER,72395,685,0.009462,small,exact,1728,,1728,True,0.023869,1,58449,0.003,"SELECT COUNT(*) FILTER (WHERE ""QT_MEDICOS"" IS NULL) AS null_count, COUNT(DISTINCT ""QT_MEDICOS"") AS distinct_count, MIN(""QT_MEDICOS"") AS min_value, MAX(""QT_MEDICOS"") AS max_value FROM ""main"".""socioeconomico"""
main,socioeconomico,VL_MEDICOS_1000,DOUBLE,72395,685,0.009462,small,exact,26461,,26461,True,0.365509,0.0331,55.2304,0.004,"SELECT COUNT(*) FILTER (WHERE ""VL_MEDICOS_1000"" IS NULL) AS null_count, COUNT(DISTINCT ""VL_MEDICOS_1000"") AS distinct_count, MIN(""VL_MEDICOS_1000"") AS min_value, MAX(""VL_MEDICOS_1000"") AS max_value FROM ""main"".""socioeconomico"""
main,stg_hospital,CNES,INTEGER,6873,0,0.0,small,exact,6873,,6873,True,1.0,27,9997784,0.001,"SELECT COUNT(*) FILTER (WHERE ""CNES"" IS NULL) AS null_count, COUNT(DISTINCT ""CNES"") AS distinct_count, MIN(""CNES"") AS min_value, MAX(""CNES"") AS max_value FROM ""main"".""stg_hospital"""
main,stg_hospital,NO_HOSPITAL,VARCHAR,6873,3146,0.457733,small,exact,3196,,3196,True,0.465008,ABIMED SERVICOS MEDICOS LTDA,Y A PENHA E CIA LTDA,0.001,"SELECT COUNT(*) FILTER (WHERE ""NO_HOSPITAL"" IS NULL) AS null_count, COUNT(DISTINCT ""NO_HOSPITAL"") AS distinct_count, MIN(""NO_HOSPITAL"") AS min_value, MAX(""NO_HOSPITAL"") AS max_value FROM ""main"".""stg_hospital"""
